*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount
Accountancy,Accountancy,Accountancy,0,401,No Tax,,,,,,
HFBC001,Bank Charges,,,,,Bank Charges,0,404,Zero Rated Sales,,
HFCH01,EABCL Vital 350 SC-1Litre,EABCL Vital 350 SC-1Litre,27,,Tax on Purchases,,0,,,632,301
HFCH02,Afribat 69WP 10Kg,Afribat 69WP 10Kg,12.5,,Tax on Purchases,,0,,,632,301
HFCH03,Agromax 720WP 1kg,Agromax 720WP 1kg,11,,Tax on Purchases,,0,,,632,301
HFCH04,Amino Gold 20Ltr,Amino Gold 20Ltr,280,,Tax on Purchases,,0,,,632,301
HFCH05,Agrigrow Highmax 24-24-18 5ltrs,Agrigrow Highmax 24-24-18 5ltrs,8,,Tax on Purchases,,0,,,632,301
HFCH06,Aligator 1 L,Aligator 1 L,28,,Tax on Purchases,"Elgon-28
Amiran-30",0,,,632,301
HFCH07,Calmag 25 ltrs,Calmag 25 ltrs,6.5,,Tax on Purchases,,0,,,632,301
HFCH08,ARIMA 30SC 1LT PACK,ARIMA 30SC 1LT PACK,155,,Tax on Purchases,155 USD PER LITRE-AMIRAN,0,,,632,301
HFCH09,IMPULSE,IMPULSE,64,,Tax on Purchases,64 USD/LITRE-AMIRAN,0,,,632,301
HFCH10,Chorus 1Kg,Chorus 1Kg,55,,Tax on Purchases,,0,,,632,301
HFCH11,SOLVIT 175 EW 1LT PACK,SOLVIT 175 EW 1LT PACK,70,,Tax on Purchases,,0,,,632,301
HFCH12,Climate 1Ltr,Climate 1Ltr,45,,Tax on Purchases,,0,,,632,301
HFCH13,Delegate,Delegate,438,,Tax on Purchases,,0,,,632,301
HFCH14,Dipnoy 60VER2 Rose Dipping,Dipnoy 60VER2 Rose Dipping,115,,Tax on Purchases,,0,,,632,301
HFCH15,Dolphin 260WDG,Dolphin 260WDG,35,,Tax on Purchases,,0,,,632,301
HFCH16,Drench 20 Litres,Drench 20 Litres,11,,Zero Rated Purchases,,0,,,632,301
HFCH17,Evade 80 Wp:5kg,Evade 80 Wp:5kg,4.5,,Tax on Purchases,,0,,,632,301
HFCH18,EVIK 500SP,EVIK 500SP,48,,Tax on Purchases,,0,,,632,301
HFCH19,Fortune Aza 1L,Fortune Aza 1L,19,,Tax on Purchases,,0,,,632,301
