debtor_no,name,debtor_ref,address,tax_id,curr_code,sales_type,dimension_id,dimension2_id,credit_status,payment_terms,discount,pymt_discount,credit_limit,notes,inactive
1,4 SEASONS FLOWERS,4 SEASONS FLOWERS, AYESHA BINT ABU BAKAR  AL ORAIJA RIYADH  SAUDI ARABIA.,1,KES,1,0,0,1,4,0,0,1000,,0
2,ABDUL AZIZ BABKER TRADING EST,ABDUL AZIZ BABKER TR,,1,KES,1,1,0,1,1,0,0,1000,,0
3,AFAQ AL KHAIR GENERAL TRADING CO,AFAQ AL KHAIR GENERA,HAWALII KUWAIT  ,1,KES,1,1,0,1,1,0,0,1000,,0
4,AFRI FLORA,AFRI FLORA, LEGMEERDIJK 313  POSTBUS 1134  1430 BC AALSMEER  HOLLAND,1,KES,1,1,0,1,1,0,0,1000,,0
5,AGRARIAN TRADING LTD,AGRARIAN TRADING LTD,,1,KES,1,1,0,1,1,0,0,1000,,0
6,Agrichem Africa Ltd-P051421525N,Agrichem Africa Ltd-,,1,KES,1,1,0,1,1,0,0,1000,,0
7,AGRINORD,AGRINORD,92 RUE ROGER PAYET  RIVIERE DES PLUIES  974389 SANTE MARIE,1,KES,1,1,0,1,1,0,0,1000,,0
8,AL HABSIA INT,AL HABSIA INT,,1,KES,1,1,0,1,1,0,0,1000,,0
9,AL HABSIA INT (Flawless Flowers),AL HABSIA INT (Flawl,,1,KES,1,1,0,1,1,0,0,1000,,0
10,AL LOKRIT INTL LLC,AL LOKRIT INTL LLC,,1,KES,1,1,0,1,1,0,0,1000,,0
11,AL QUOSSOS TRADING LTD,AL QUOSSOS TRADING L,,1,KES,1,1,0,1,1,0,0,1000,,0
12,AL RABAT ENTERPRISES CO LLC,AL RABAT ENTERPRISES,,1,KES,1,1,0,1,1,0,0,1000,,0
13,AL RABIA,AL RABIA,,1,KES,1,1,0,1,1,0,0,1000,,0
14,AL SHAMS HOTEL ACCESSORIES AND FLOWERS TRADING LCC,AL SHAMS HOTEL ACCES,,1,KES,1,1,0,1,1,0,0,1000,,0
15,AlAhmadiah Agriculture Contracting Est,AlAhmadiah Agricultu,,1,KES,1,1,0,1,1,0,0,1000,,0
16,AMERICAN EAGLE GENERAL TRADING,AMERICAN EAGLE GENER,,1,KES,1,1,0,1,1,0,0,1000,,0
17,AZALEA FLOWERS,AZALEA FLOWERS,,1,KES,1,1,0,1,1,0,0,1000,,0
18,Bank of India,Bank of India,,1,KES,1,1,0,1,1,0,0,1000,,0
19,BLACK TULIP FLOWERS(FZC),BLACK TULIP FLOWERS(,,1,KES,1,1,0,1,1,0,0,1000,,0
20,BLOOM BV,BLOOM BV,,1,KES,1,1,0,1,1,0,0,1000,,0
21,BLOOMAX FLOWERS,BLOOMAX FLOWERS,,1,KES,1,1,0,1,1,0,0,1000,,0
22,Camelia Flowers LLc,Camelia Flowers LLc,,1,KES,1,1,0,1,1,0,0,1000,,0
23,Clean Vision Systems,Clean Vision Systems,,1,KES,1,1,0,1,1,0,0,1000,,0
24,CROCUS MAORI(NG-NN),CROCUS MAORI(NG-NN),,1,KES,1,1,0,1,1,0,0,1000,,0
25,DANIAL FLOWERS,DANIAL FLOWERS,,1,KES,1,1,0,1,1,0,0,1000,,0
26,DETULP,DETULP, PO.BOX:9058 200 39 MALMO S.SWEDEN ,1,KES,1,1,0,1,1,0,0,1000,,0
27,DRIMES LTD,DRIMES LTD,,1,KES,1,1,0,1,1,0,0,1000,,0
28,EDDS ENTERPRISE C/O EMILE DOMINGUE,EDDS ENTERPRISE C/O ,,1,KES,1,1,0,1,1,0,0,1000,,0
29,ESTABLISHMENT MUNASABAH WAHAFLA,ESTABLISHMENT MUNASA,,1,KES,1,1,0,1,1,0,0,1000,,0
30,EURL L'HORTENSIA FLUERS,EURL L'HORTENSIA FLU, 59 ROUTE DU KADOUS  SEBALA DRARIA  ALGIERS,1,KES,1,1,0,1,1,0,0,1000,,0
31,EverFlora Ltd,EverFlora Ltd,,1,KES,1,1,0,1,1,0,0,1000,,0
32,EXPRESS FLOWERS HOLLAND,EXPRESS FLOWERS HOLL,,1,KES,1,1,0,1,1,0,0,1000,,0
33,F.LLI BARILE S. P.A .S.U S.V.,F.LLI BARILE S. P.A ,,1,KES,1,1,0,1,1,0,0,1000,,0
34,Fashion Garden S.A,Fashion Garden S.A,,1,KES,1,1,0,1,1,0,0,1000,,0
35,FATIM FLOWERS LTD,FATIM FLOWERS LTD, EGOR'EVSKIY PROED STREET 2A MOSCOW.  ,1,KES,1,1,0,1,1,0,0,1000,,0
36,FIRENZE FLORA TRADING LLC POST,FIRENZE FLORA TRADIN,,1,KES,1,1,0,1,1,0,0,1000,,0
37,FLAMINGO FLOWERS BV,FLAMINGO FLOWERS BV, JUPITER 185  2675 LV HONSELERSDIJK  ,1,KES,1,1,0,1,1,0,0,1000,,0
38,FLAMINGO FLOWERS UK LTD,FLAMINGO FLOWERS UK ,,1,KES,1,1,0,1,1,0,0,1000,,0
