id,item_code,stock_id,description,category_id,quantity,is_foreign,inactive
11,Accountancy,Accountancy,Accountancy,1,1,1,0
12,HFBC001,HFBC001,Bank Charges,1,1,1,0
13,HFCH01,HFCH01,EABCL Vital 350 SC-1Litre,1,1,1,0
14,HFCH02,HFCH02,Afribat 69WP 10Kg,1,1,1,0
15,HFCH03,HFCH03,Agromax 720WP 1kg,1,1,1,0
16,HFCH04,HFCH04,Amino Gold 20Ltr,1,1,1,0
17,HFCH05,HFCH05,Agrigrow Highmax 24-24-18 5ltrs,1,1,1,0
18,HFCH06,HFCH06,Aligator 1 L,1,1,1,0
19,HFCH07,HFCH07,Calmag 25 ltrs,1,1,1,0
20,HFCH08,HFCH08,ARIMA 30SC 1LT PACK,1,1,1,0
21,HFCH09,HFCH09,IMPULSE,1,1,1,0
22,HFCH10,HFCH10,Chorus 1Kg,1,1,1,0
23,HFCH11,HFCH11,SOLVIT 175 EW 1LT PACK,1,1,1,0
24,HFCH12,HFCH12,Climate 1Ltr,1,1,1,0
25,HFCH13,HFCH13,Delegate,1,1,1,0
26,HFCH14,HFCH14,Dipnoy 60VER2 Rose Dipping,1,1,1,0
27,HFCH15,HFCH15,Dolphin 260WDG,1,1,1,0
28,HFCH16,HFCH16,Drench 20 Litres,1,1,1,0
29,HFCH17,HFCH17,Evade 80 Wp:5kg,1,1,1,0
30,HFCH18,HFCH18,EVIK 500SP,1,1,1,0
31,HFCH19,HFCH19,Fortune Aza 1L,1,1,1,0
32,HFCH20,HFCH20,Borax,1,1,1,0
33,HFCH21,HFCH21,Ferroactive 6% Iron,1,1,1,0
34,HFCH22,HFCH22,Flonex 15 SC 1LT,1,1,1,0
35,HFCH23,HFCH23,Fonium 1Kg,1,1,1,0
36,HFCH24,HFCH24,Splendid,1,1,1,0
37,HFCH25,HFCH25,Hinder 1KG,1,1,1,0
38,HFCH26,HFCH26,Ignite Acumin 25Ltr,1,1,1,0
39,HFCH27,HFCH27,Ippon 500 SC,1,1,1,0
40,HFCH28,HFCH28,Knockout 1Ltr,1,1,1,0
41,HFCH29,HFCH29,Manco Flo 5ltr,1,1,1,0
42,HFCH30,HFCH30,Matco 2.5kg,1,1,1,0
43,HFCH31,HFCH31,Matric 50SC 1lt,1,1,1,0
44,HFCH32,HFCH32,Meltatox 385 EC,1,1,1,0
45,HFCH33,HFCH33,Merit 1 Litre,1,1,1,0
46,HFCH34,HFCH34,MITEKING 1LTR,1,1,1,0
47,HFCH35,HFCH35,Microthiole,1,1,1,0
48,HFCH36,HFCH36,Mix Drip Combi 5 Ltr,1,1,1,0
49,HFCH37,HFCH37,Mortar 22 Wp,1,1,1,0
50,HFCH38,HFCH38,Mite Sweep 1Ltr,1,1,1,0
51,HFCH39,HFCH39,Nimbecidine 5Lts,1,1,1,0
52,HFCH40,HFCH40,Nimrod,1,1,1,0
53,HFCH41,HFCH41,Oshothane Plus WDg 5Kg,1,1,1,0
54,HFCH42,HFCH42,Piranah 200SC,1,1,1,0
55,HFCH43,HFCH43,IProde 500SC 1Lt,1,1,1,0
56,HFCH44,HFCH44,PYRIMEC 1KG,1,1,1,0
57,HFCH45,HFCH45,Revus 1Lts,1,1,1,0
58,HFCH46,HFCH46,Ringo,1,1,1,0
59,HFCH47,HFCH47,Rova 1ltr,1,1,1,0
60,HFCH48,HFCH48,Rova 75 WP Kg,1,1,1,0
61,HFCH49,HFCH49,Spirox,1,1,1,0
62,HFCH50,HFCH50,Splendor 500EC 1Ltr,1,1,1,0
63,HFCH51,HFCH51,Strobine Extra 1Lt,1,1,1,0
64,HFCH52,HFCH52,Sulfolac 80% WG -25Kg,1,1,1,0
65,HFCH53,HFCH53,Sword,1,1,1,0
66,HFCH54,HFCH54,Tog 10-10Ltr,1,1,1,0
67,HFCH55,HFCH55,Tog 6,1,1,1,0
68,HFCH56,HFCH56,Zodiac 50 WDG 1Kg,1,1,1,0
