id,item_code,stock_id,description,category_id,quantity,is_foreign,inactive
1,HFFL01,HFFL01,"Athena,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
2,HFFL02,HFFL02,"Athena,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
3,HFFL04,HFFL04,"Athena,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
4,HFFL05,HFFL05,"Bellerose,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
5,HFFL06,HFFL06,"Bellerose,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
6,HFFL10,HFFL10,"Carise,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
7,HFFL101,HFFL101,"Top Gear,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
8,HFFL102,HFFL102,"Top Gear,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
9,HFFL17,HFFL17,"Copa Cabana,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
10,HFFL18,HFFL18,"Copa Cabana,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
11,HFFL21,HFFL21,"Event,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
12,HFFL30,HFFL30,"High & Magic,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
13,HFFL38,HFFL38,"Jumilla,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
14,HFFL42,HFFL42,"Kingsday,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
15,HFFL45,HFFL45,"Labelle,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
16,HFFL46,HFFL46,"Labelle,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
17,HFFL49,HFFL49,"Lampion,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
18,HFFL50,HFFL50,"Lampion,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
19,HFFL53,HFFL53,"Madam Cerice,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
20,HFFL54,HFFL54,"Madam Cerice,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
21,HFFL55,HFFL55,"Madam Cerice,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
22,HFFL57,HFFL57,"Madam Red,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
23,HFFL58,HFFL58,"Madam Red,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
24,HFFL59,HFFL59,"Madam Red,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
25,HFFL60,HFFL60,"Madam Red,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
26,HFFL73,HFFL73,"Movie Star,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
27,HFFL74,HFFL74,"Movie Star,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
28,HFFL81,HFFL81,"Nightingale,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
29,HFFL82,HFFL82,"Nightingale,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
30,HFFL89,HFFL89,"Revival,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
31,HFFLO01,HFFLO01,"Athena,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
32,HFFLO02,HFFLO02,"Athena,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
33,HFFLO03,HFFLO03,"Athena,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
34,HFFLO04,HFFLO04,"Athena,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
35,HFFLO05,HFFLO05,"Bellerose,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
36,HFFLO06,HFFLO06,"Bellerose,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
37,HFFLO07,HFFLO07,"Bellerose,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
38,HFFLO08,HFFLO08,"Bellerose,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
39,HFFLO09,HFFLO09,"Carise,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
40,HFFLO10,HFFLO10,"Carise,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
41,HFFLO100,HFFLO100,"Sunny Confidential,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
42,HFFLO101,HFFLO101,"Top Gear,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
43,HFFLO102,HFFLO102,"Top Gear,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
44,HFFLO103,HFFLO103,"Top Gear,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
45,HFFLO104,HFFLO104,"Top Gear,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
46,HFFLO11,HFFLO11,"Carise,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
47,HFFLO12,HFFLO12,"Carise,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
48,HFFLO13,HFFLO13,"Carodanal,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
49,HFFLO14,HFFLO14,"Carodanal,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
50,HFFLO15,HFFLO15,"Carodanal,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
51,HFFLO16,HFFLO16,"Carodanal,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
52,HFFLO17,HFFLO17,"Copa Cabana,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
53,HFFLO18,HFFLO18,"Copa Cabana,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
54,HFFLO19,HFFLO19,"Copa Cabana,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
55,HFFLO20,HFFLO20,"Copa Cabana,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
56,HFFLO21,HFFLO21,"Event,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
