stock_id,category_id,tax_type_id,description,long_description,units,mb_flag,sales_account,cogs_account,inventory_account,adjustment_account,wip_account,dimension_id,dimension2_id,purchase_cost,material_cost,labour_cost,overhead_cost,inactive,no_sale,no_purchase,editable,depreciation_method,depreciation_rate,depreciation_factor,depreciation_start,depreciation_date,fa_class_id
HFFL01,1,2,"Athena,42cm,0 Boxes,0 Stems Per Box","Athena,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL02,1,2,"Athena,52cm,0 Boxes,0 Stems Per Box","Athena,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL04,1,2,"Athena,72cm,0 Boxes,0 Stems Per Box","Athena,72cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL05,1,2,"Bellerose,42cm,0 Boxes,0 Stems Per Box","Bellerose,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL06,1,2,"Bellerose,52cm,0 Boxes,0 Stems Per Box","Bellerose,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL10,1,2,"Carise,52cm,0 Boxes,0 Stems Per Box","Carise,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL101,1,2,"Top Gear,42cm,0 Boxes,0 Stems Per Box","Top Gear,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL102,1,2,"Top Gear,52cm,0 Boxes,0 Stems Per Box","Top Gear,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL17,1,2,"Copa Cabana,42cm,0 Boxes,0 Stems Per Box","Copa Cabana,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL18,1,2,"Copa Cabana,52cm,0 Boxes,0 Stems Per Box","Copa Cabana,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL21,1,2,"Event,42cm,0 Boxes,0 Stems Per Box","Event,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL30,1,2,"High & Magic,52cm,0 Boxes,0 Stems Per Box","High & Magic,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL38,1,2,"Jumilla,52cm,0 Boxes,0 Stems Per Box","Jumilla,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL42,1,2,"Kingsday,52cm,0 Boxes,0 Stems Per Box","Kingsday,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL45,1,2,"Labelle,42cm,0 Boxes,0 Stems Per Box","Labelle,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL46,1,2,"Labelle,52cm,0 Boxes,0 Stems Per Box","Labelle,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL49,1,2,"Lampion,42cm,0 Boxes,0 Stems Per Box","Lampion,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL50,1,2,"Lampion,52cm,0 Boxes,0 Stems Per Box","Lampion,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL53,1,2,"Madam Cerice,42cm,0 Boxes,0 Stems Per Box","Madam Cerice,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL54,1,2,"Madam Cerice,52cm,0 Boxes,0 Stems Per Box","Madam Cerice,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL55,1,2,"Madam Cerice,62cm,0 Boxes,0 Stems Per Box","Madam Cerice,62cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL57,1,2,"Madam Red,42cm,0 Boxes,0 Stems Per Box","Madam Red,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL58,1,2,"Madam Red,52cm,0 Boxes,0 Stems Per Box","Madam Red,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL59,1,2,"Madam Red,62cm,0 Boxes,0 Stems Per Box","Madam Red,62cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL60,1,2,"Madam Red,72cm,0 Boxes,0 Stems Per Box","Madam Red,72cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL73,1,2,"Movie Star,42cm,0 Boxes,0 Stems Per Box","Movie Star,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL74,1,2,"Movie Star,52cm,0 Boxes,0 Stems Per Box","Movie Star,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL81,1,2,"Nightingale,42cm,0 Boxes,0 Stems Per Box","Nightingale,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL82,1,2,"Nightingale,52cm,0 Boxes,0 Stems Per Box","Nightingale,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFL89,1,2,"Revival,42cm,0 Boxes,0 Stems Per Box","Revival,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO01,1,2,"Athena,42cm,0 Boxes,0 Stems Per Box","Athena,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO02,1,2,"Athena,52cm,0 Boxes,0 Stems Per Box","Athena,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
