name,debtor_ref,address,tax_id,curr_code,sales_type,dimension_id,dimension2_id,credit_status,payment_terms,discount,pymt_discount,credit_limit,notes,inactive,BankAccountName,Website,SkypeName
4 SEASONS FLOWERS,4 SEASONS FLOWERS, AYESHA BINT ABU BAKAR  AL ORAIJA RIYADH  SAUDI ARABIA.,1,KES,1,0,0,1,4,0,0,1000,,0,,,
ABDUL AZIZ BABKER TRADING EST,ABDUL AZIZ BABKER TRADING EST,,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AFAQ AL KHAIR GENERAL TRADING CO,AFAQ AL KHAIR GENERAL TRADING CO,HAWALII KUWAIT  ,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AFRI FLORA,AFRI FLORA, LEGMEERDIJK 313  POSTBUS 1134  1430 BC AALSMEER  HOLLAND,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AGRARIAN TRADING LTD,AGRARIAN TRADING LTD,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
Agrichem Africa Ltd-P051421525N,Agrichem Africa Ltd-P051421525N,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AGRINORD,AGRINORD,92 RUE ROGER PAYET  RIVIERE DES PLUIES  974389 SANTE MARIE,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AL HABSIA INT,AL HABSIA INT,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AL HABSIA INT (Flawless Flowers),AL HABSIA INT (Flawless Flowers),#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AL LOKRIT INTL LLC,AL LOKRIT INTL LLC,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AL QUOSSOS TRADING LTD,AL QUOSSOS TRADING LTD,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AL RABAT ENTERPRISES CO LLC,AL RABAT ENTERPRISES CO LLC,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AL RABIA,AL RABIA,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AL SHAMS HOTEL ACCESSORIES AND FLOWERS TRADING LCC,AL SHAMS HOTEL ACCESSORIES AND FLOWERS TRADING LCC,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AlAhmadiah Agriculture Contracting Est,AlAhmadiah Agriculture Contracting Est,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AMERICAN EAGLE GENERAL TRADING,AMERICAN EAGLE GENERAL TRADING,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
AZALEA FLOWERS,AZALEA FLOWERS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
Bank of India,Bank of India,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
BLACK TULIP FLOWERS(FZC),BLACK TULIP FLOWERS(FZC),#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
BLOOM BV,BLOOM BV,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
BLOOMAX FLOWERS,BLOOMAX FLOWERS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
Camelia Flowers LLc,Camelia Flowers LLc,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
Clean Vision Systems,Clean Vision Systems,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
CROCUS MAORI(NG-NN),CROCUS MAORI(NG-NN),#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
DANIAL FLOWERS,DANIAL FLOWERS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
DETULP,DETULP, PO.BOX:9058 200 39 MALMO S.SWEDEN ,1,KES,1,1,0,1,1,0,0,1000,,0,,,
DRIMES LTD,DRIMES LTD,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
EDDS ENTERPRISE C/O EMILE DOMINGUE,EDDS ENTERPRISE C/O EMILE DOMINGUE,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
ESTABLISHMENT MUNASABAH WAHAFLA,ESTABLISHMENT MUNASABAH WAHAFLA,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
EURL L'HORTENSIA FLUERS,EURL L'HORTENSIA FLUERS, 59 ROUTE DU KADOUS  SEBALA DRARIA  ALGIERS,1,KES,1,1,0,1,1,0,0,1000,,0,,,
EverFlora Ltd,EverFlora Ltd,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
EXPRESS FLOWERS HOLLAND,EXPRESS FLOWERS HOLLAND,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
F.LLI BARILE S. P.A .S.U S.V.,F.LLI BARILE S. P.A .S.U S.V.,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
Fashion Garden S.A,Fashion Garden S.A,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FATIM FLOWERS LTD,FATIM FLOWERS LTD, EGOR'EVSKIY PROED STREET 2A MOSCOW.  ,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FIRENZE FLORA TRADING LLC POST,FIRENZE FLORA TRADING LLC POST,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FLAMINGO FLOWERS BV,FLAMINGO FLOWERS BV, JUPITER 185  2675 LV HONSELERSDIJK  ,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FLAMINGO FLOWERS UK LTD,FLAMINGO FLOWERS UK LTD,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FLAMINGO HORTICULTURE LTD,FLAMINGO HORTICULTURE LTD,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FLORA PLUS MIDENWEG 55,FLORA PLUS MIDENWEG 55,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
Flower Direct BV,Flower Direct BV,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FLOWER FLOW PTY LTD,FLOWER FLOW PTY LTD,,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FLOWER FLOW PTY LTD,FLOWER FLOW PTY LTD,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FLOWER NET WORK - GHANA,FLOWER NET WORK - GHANA,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FLOWER NETWORK - MALAWI,FLOWER NETWORK - MALAWI,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FlowerDirect AS,FlowerDirect AS,,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FLOWERDIRECT AS,FLOWERDIRECT AS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
Flowers Al Wedad Est,Flowers Al Wedad Est,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FOUR SEASONS,FOUR SEASONS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
FRESH DAY,FRESH DAY,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
